date,channel,item_id,title,campaign,status,post_url,notes
2026-05-09,linkedin,social-001,Weekly Update Before/After,manager_update_before_after,posted,https://www.linkedin.com/feed/update/urn:li:activity:7458766229730799616/,Published manually
2026-05-09,x,social-001,Weekly Update Before/After,manager_update_before_after,posted,https://x.com/ZouJie97280/status/2053011757481013744,Published manually with shortened copy
